x(m) y(m)
10.0 10.0
8.1697 6.3328
13.2457 1.0418
19.4665 8.9168
18.2208 8.4076
12.2397 3.4625
1.0265 12.8644
9.3898 0.8544
7.0917 0.4496
3.3322 5.7988
9.1303 6.6672
13.7345 5.0093
0.5086 9.9325
30.0 10.0
25.1763 7.0098
35.8803 11.5347
37.9607 6.2211
32.0598 14.693
30.9553 19.3749
33.2227 0.739
23.4869 10.2454
22.9854 11.1822
50.0 10.0
56.3226 16.7305
53.7066 16.0914
57.7525 5.95
41.6274 4.5683
47.7256 3.2483
57.9552 5.3208
41.3506 12.6998
57.3537 14.3692
44.2251 12.0944
51.2488 17.1364
44.4892 3.9358
41.7468 10.4814
51.8392 17.7225
58.0526 11.0356
44.5159 13.718
46.6278 5.0253
42.7382 3.4761
58.2202 15.6251
70.0 10.0
75.4041 6.454
70.6335 13.1445
74.315 5.7183
72.8323 3.7937
63.6338 14.739
69.1728 4.5856
76.3799 12.0998
65.9885 1.9887
66.9538 7.9159
75.3239 2.4202
77.6913 11.1999
65.0476 18.4064
71.7474 10.0317
62.7649 12.7497
63.0294 7.7574
72.0111 7.726
62.9305 8.9009
70.7024 1.6299
70.5625 18.6216
10.0 30.0
17.5114 24.6617
18.8705 31.3151
18.1498 32.5115
9.9719 34.373
3.6455 25.6663
3.2349 22.7772
17.1643 35.5427
6.9838 37.4983
14.9601 37.4347
10.7689 21.1273
5.1507 28.4069
17.4862 27.5553
1.6192 25.0497
9.6812 26.0403
10.5414 37.4207
16.3613 24.2578
18.907 32.7633
2.1994 24.6384
15.6474 21.8492
30.0 30.0
27.0234 38.7124
24.7436 25.9988
31.0124 24.8513
30.0415 33.7293
32.2211 30.2977
24.3081 36.3882
21.4385 25.9639
23.2041 31.161
22.1638 31.3815
36.1775 28.254
35.3828 37.0028
25.3531 24.682
32.9285 28.1988
31.2076 32.6857
25.3467 26.5057
23.558 33.924
21.1825 31.8484
28.5556 36.4259
26.1723 39.2058
