x(m) y(m) z(m)
10.0 10.0 3.5146
11.8009 17.9728 3.1489
6.233 10.021 6.6152
9.5479 16.5662 6.226
7.0961 8.9985 9.6552
2.3727 9.2779 8.208
14.115 3.5159 9.033
17.6358 16.3787 5.1052
5.3975 11.9523 8.6171
4.9856 7.9357 5.2073
17.2013 9.9182 5.2976
18.3844 9.998 4.8574
17.7746 15.9716 4.9877
4.9106 1.9305 5.0485
6.2879 5.4791 3.5064
4.0735 4.5146 5.3639
13.3014 2.3229 8.0492
6.7119 18.1404 6.1461
1.54 12.8496 6.5956
30.0 10.0 7.0084
21.2671 13.3758 9.7689
22.8318 8.002 7.0335
28.2349 13.6172 6.1879
25.2465 7.8295 7.2461
27.4674 18.1642 5.2607
27.3356 6.9023 4.9524
36.0783 13.7052 7.5441
27.3658 7.065 3.9305
29.5316 19.7649 8.4767
30.6465 17.7286 8.4751
28.2613 17.5241 7.2564
50.0 10.0 6.5558
59.3557 7.4323 5.8901
53.3845 8.6909 7.4413
55.3667 11.0315 9.3351
51.1004 0.7648 4.0139
48.3871 3.0808 5.8639
55.523 12.1727 3.6875
45.799 17.603 4.1911
43.4218 11.4786 7.6089
45.431 9.8433 4.4884
57.8917 4.2727 5.9582
43.3635 3.9695 4.8777
45.6007 8.7668 7.6018
70.0 10.0 3.607
65.0468 15.3161 8.623
79.8488 8.8092 9.4213
72.2733 0.9942 8.6698
78.3462 10.3415 5.7419
67.5999 2.2975 6.1671
75.2138 12.6507 9.6804
72.0539 8.8993 8.5956
67.9216 10.636 6.0352
10.0 30.0 8.2876
17.9721 25.7845 9.1808
6.7504 22.2108 6.3003
4.8356 24.0352 5.5168
11.8978 37.479 4.0764
18.1793 30.457 5.5727
17.009 26.6286 6.8659
2.2421 30.1217 5.0151
17.0173 37.0449 4.2578
17.6345 26.125 5.1864
7.8479 39.6478 6.5754
18.9145 34.09 5.7481
4.1925 37.826 3.5138
10.0499 24.4506 8.7205
3.3644 31.2869 9.542
17.8192 24.3678 3.91
30.0 30.0 7.5653
36.7255 31.389 9.479
34.3508 26.3996 8.3109
26.7421 22.3121 8.8562
35.8203 32.3784 9.3088
36.1821 22.2224 5.9178
35.2786 35.3213 5.0708
29.071 22.5712 9.3029
23.7466 34.3141 7.5135
23.8713 27.2334 4.5514
32.7805 34.6281 7.8667
24.8081 24.9278 8.9481
